@relation ReasonerRankingData

@attribute DLFamily numeric
@attribute OPR numeric
@attribute AxMaxNesting numeric
@attribute AvgNbrRestrict numeric
@attribute HMaxNbr numeric
@attribute HP_MaxDepth numeric
@attribute SRBx numeric
@attribute DpDISJ numeric
@attribute SymmetricObjectProperty numeric
@attribute OAS numeric
@attribute ExactCardinality_C numeric
@attribute DpEQUIV numeric
@attribute HP_MultiParent numeric
@attribute STBx numeric
@attribute HP_MaxChildren numeric
@attribute SDP numeric
@attribute HC_MaxChildren numeric
@attribute OpCHAIN numeric
@attribute Complement_C numeric
@attribute InverseFuncOPRatio numeric
@attribute ClassAssertion numeric
@attribute FunctionalObjectProperty numeric
@attribute IrreflexiveOPRatio numeric
@attribute FunctionalDataProperty numeric
@attribute ObjectPropertyAssertion numeric
@attribute IrrefexiveObjectProperty numeric
@attribute GCI_C numeric
@attribute SOP numeric
@attribute ARichness numeric
@attribute OP_COHESION numeric
@attribute Union_R numeric
@attribute HExtNbr numeric
@attribute Indiv_SAME numeric
@attribute DataPropertyAssertion numeric
@attribute DisjointClasses numeric
@attribute Complement_R numeric
@attribute SubPropertyChainOf numeric
@attribute MostCardinality_C numeric
@attribute RRichness numeric
@attribute Indiv_DIFF numeric
@attribute AxiomMaxConst numeric
@attribute RRBx numeric
@attribute HP_MaxParents numeric
@attribute HC_MaxParents numeric
@attribute HP_MaxPropDegree numeric
@attribute HC_MaxClassDegree numeric
@attribute RTBx numeric
@attribute CLS_NOM numeric
@attribute SI numeric
@attribute NPCD_Ratio numeric
@attribute EquivalentClasses numeric
@attribute OneOf_C numeric
@attribute NPCD_C numeric
@attribute RABx numeric
@attribute ReflexiveOPRatio numeric
@attribute DataPropertyDomain numeric
@attribute SubObjectPropertyOf numeric
@attribute Existentiel_C numeric
@attribute SubDataPropertyOf numeric
@attribute OpEQUIV numeric
@attribute ClsDISJ_Ratio numeric
@attribute OLAS numeric
@attribute GCI_Ratio numeric
@attribute ExactCardinality_R numeric
@attribute TransitiveObjectProperty numeric
@attribute OneOf_R numeric
@attribute UI_Ratio numeric
@attribute AxAvgNesting numeric
@attribute SubClassOf numeric
@attribute HasSelf_C numeric
@attribute OntoConstructorDensity numeric
@attribute EquivalentDataProperties numeric
@attribute InverseOPRatio numeric
@attribute SABx numeric
@attribute Nom_Tbox numeric
@attribute HasValue_R numeric
@attribute SameIndividual numeric
@attribute OpDISJ numeric
@attribute LeastCardinality_R numeric
@attribute DifferentIndividuals numeric
@attribute PCD_Ratio numeric
@attribute InverseFunctionalObjectProperty numeric
@attribute EqDPRatio numeric
@attribute MostCardinality_R numeric
@attribute UI_Pattern numeric
@attribute InverseObjectProperties numeric
@attribute Existentiel_R numeric
@attribute Intersection_C numeric
@attribute Universal_R numeric
@attribute Universal_C numeric
@attribute HasValue_C numeric
@attribute HasSelf_R numeric
@attribute DisjointObjectProperties numeric
@attribute HMinNbr numeric
@attribute LeastCardinality_C numeric
@attribute HC_MultiParents numeric
@attribute EUR_Pattern numeric
@attribute TransitiveOPRatio numeric
@attribute EquivalentObjectProperties numeric
@attribute SymmetricOPRatio numeric
@attribute DataPropertyRange numeric
@attribute CUR_Pattern numeric
@attribute ReflexiveObjectProperty numeric
@attribute HC_AvgChildren numeric
@attribute DisjointUnion numeric
@attribute EqOPRatio numeric
@attribute Intersection_R numeric
@attribute AsymmetricObjectProperty numeric
@attribute FunctionalOPRatio numeric
@attribute DisjOPRatio numeric
@attribute EUR_Ratio numeric
@attribute HP_COHESION numeric
@attribute SC numeric
@attribute HasHiearOPRatio numeric
@attribute ChainOPRatio numeric
@attribute PCD_C numeric
@attribute ObjectPropertyDomain numeric
@attribute HP_AvgChildren numeric
@attribute Union_C numeric
@attribute CUR_Ratio numeric
@attribute ObjectPropertyRange numeric
@attribute HC_DegreeCentrality numeric
@attribute HP_DegreeCentrality numeric
@attribute SDT numeric
@attribute Konclude {0,1}
@attribute MOReHermiT {0,1}
@attribute HermiT-OA4 {0,1}
@attribute TrOWL {0,1}
@attribute Pellet-OA4 {0,1}
@attribute FaCT++ {0,1}
@attribute JFact {0,1}
@attribute ELK {0,1}
@attribute Racer {0,1}
@attribute ELepHant {0,1}
@data
2618.0,4.0,1,0,0,0,0,0,0,133,0,0,0,0,0,2,0,0,0,0,40.952,0,0,0,56.19,0,0,10,0.125,0,0,0,0,2.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,95.238,0,0,0,0,0,0,0,105,0,0,0,0,0,0.41,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1
2184.0,1.0,8,8.24,1,6,547,0,0,4424,131,0,0,1378,10,14,27,12,3,0,25.885,0.312,0,0.312,17.814,0,31,176,0.02,0,1.834,1,0,0.991,3.229,0.367,0.283,5,0.33,0.437,4,15.491,1,2,11,28,39.026,32.812,687,5.806,3.144,3,80,1.288,0,0.34,3.059,249,0,6,6.534,3531,2.25,16.015,0.085,0.367,0.363,1.37,32.654,231,0.149,0,52.834,1606,0.582,0,0,0,0.122,0.793,77.721,0,0,0.611,5,1.416,30.44,125,6.724,55,0,28.24,0,2,1,0.142,1,0,0.085,0,0.34,0,0,3.083,0,1.814,15.281,0,6.803,0,0.073,0.021,704,50.34,31.293,1071,4.645,2.25,15,0,4.616,0.038,0.056,6,1,0,0,1,0,0,0,0,0,0
2184.0,1.0,8,8.478,1,6,513,0,0,3687,139,0,0,1473,10,14,28,11,3,0,20.574,0.4,0,0.4,5.671,0,35,166,0.018,0,2.138,1,0,0.582,4.108,0.356,0.327,6,0.285,0.683,4,18.648,1,1,11,29,53.544,26.024,439,5.092,3.999,3,75,1.011,0,0.436,3.599,291,0,6,5.812,2751,2.376,16.508,0.145,0.356,0.339,1.713,45.438,197,0.143,0,59.481,765,0.911,0,0,0,0.119,0.981,78.208,0,0,0.713,5,1.636,34.561,120,7.601,64,0,23.397,0,2,1,0,0,0.2,0.109,0,0.436,0,0,3.037,0,1.796,14.252,0,5.389,0,0,0.021,757,54.691,29.341,1152,5.598,2.2,18,0,5.562,0.036,0.06,6,1,0,0,1,0,0,0,0,0,0
2169487.0,5.0,1,0,0,2,3,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,33.333,0,0,0,0,3,0,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,33.333,1,0,0,33.333,0,0,0,1,1,1,1,1,1,1,1,1,1
2184.0,1.0,74,0,0,0,89,0,0,57033,0,0,0,33,0,84,5,0,20,0,28.072,0,0,0.153,71.707,0,8,10,0.044,0,10.204,0,0,0,0,40.816,0,0,0,0,5,0.162,0,1,0,5,0.06,0,28023,3.03,0.002,0,1,0.181,0,0,0,9,0,0,0,55020,24.242,0,0,0,9.091,3.212,0.058,0,0.303,0,100,54898,0,0,0,0,0,0,72.727,0,0,0,3,0.009,18.367,12,6.122,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,24.49,0,0,0,0,0,1920,0,0,24,0,0,5,0,0,0.003,0,2,1,0,1,1,0,1,0,0,1,0
2184.0,1.0,74,0,0,0,89,0,0,82090,0,0,0,33,0,84,5,0,20,0,19.288,0,0,0.105,80.56,0,8,10,0.044,0,10.204,0,0,0,0,40.816,0,0,0,0,5,0.111,0,1,0,5,0.041,0,40601,3.03,0.001,0,1,0.125,0,0,0,9,0,0,0,80077,24.242,0,0,0,9.091,2.207,0.04,0,0.303,0,100,79955,0,0,0,0,0,0,72.727,0,0,0,3,0.006,18.367,12,6.122,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,24.49,0,0,0,0,0,1920,0,0,24,0,0,5,0,0,0.003,0,2,1,0,0,1,0,1,0,0,1,0
2460331.0,6.0,13,0,0,3,72,0,0,917,0,0,3.846,845,2,1,145,8,0,0,0,0.109,0,0,0,0,153,27,0.002,0,0.462,0,0,0,0.436,0,0.981,0,0.019,0,11,7.852,2,5,3,147,92.148,0,0,0,16.685,0,0,0,0,0.109,2.181,531,0,0,1.587,917,18.107,0,1.091,0,0.473,3.023,75.027,0,0.093,0,27.951,0,0,0,0,0,0,0,62.485,0,0,0,4,0.654,61.387,285,5.202,45,0,0,0,0,0,0.397,45,21.007,0,0,0.109,0,0,2.747,0,0,32.948,0,14.931,0,5.325,0.092,504,28.993,22.049,528,1.309,1.182,4,0,1.309,0.289,0.087,2,1,1,1,0,0,1,0,0,0,0
2460331.0,6.0,5,0,0,4,64,0,0,96907,0,0,0,33548,6,0,244,10,0,0,65.315,0,0,0,0,0,3723,44,0,0,0,0,0,0,2.082,0,0.01,0,0.06,0,2,0.066,1,4,6,245,34.619,0,3469,0,1.825,0,0,0.067,0,0,0.031,23583,0,0,1.016,96907,11.098,0,0.006,0,0,2.67,30.711,0,0.378,0,47.661,63295,0,0,0,0,0,0,74.836,0,0,0,0,0.007,93.022,1769,0,0,0,0,0,0,0,0.021,0,50.502,0,0,0,0,0,6.006,0,0,6.978,0,0,0,0,0.087,13981,90.23,80.901,25106,0.008,2.143,0,0,0.003,0.017,0.113,0,1,0,1,1,0,1,1,1,0,0
2460331.0,6.0,13,0,0,4,72,0,0,168183,0,0,0,20115,6,0,218,12,0,0,67.557,0,0,0,20.44,0,375,49,0,0,0,0,0,0,0.039,0,0.007,0,0.004,0,6,0.043,1,4,6,219,11.96,0,20974,9.958,1.413,0,2003,0.052,0,0,0.018,13493,0,0,0.382,168183,1.864,0,0.004,0,0,1.557,10.508,0,0.131,0,53.509,147996,0,0,0,0,0,0,85.339,0,0,0,0,0.004,85.022,2377,0,0,0,0,0,0,0,0.024,0,58.393,0,0,0,0,0,5.229,0,0,14.978,0,0,0,0,0.07,12318,91.685,78.656,17166,0.006,2.143,0,0,0.004,0.018,0.104,0,1,0,0,1,0,0,0,1,0,0
2184.0,1.0,45,0,0,0,329,0,0.001,164920,0,0,0,122695,0,20,1721,0,0,0,0.069,0,0,0,0,0,530,143,0,0,6.028,0,0,0,0,0,0,0,0.054,100,22,0.267,0,2,0,1722,99.663,15.499,85,0.024,0.454,0,29,0,0,0.015,0,66179,0,0,0,123110,0.432,0,0,0,0,2.69,99.209,6455,0.031,0,91.111,86,0,0,0,0,0,0.001,94.788,0,0,0,0,0.023,78.187,559,7.499,6347,0,7.626,0,0,0,0.002,0,0,0,0.445,0.015,0,0,5.768,0,0,0.66,0,0,0,0,0,41648,0,0,116300,0.102,0,5102,0,0.112,0.041,0,4,0,0,0,0,0,0,0,1,0,0
2215.0,2.0,10,0,0,2,13,0,0,201096,0,0,0,140786,2,0,23430,2,0,0,0,0,0,0,0,0,23430,10,0,0,0,0,0,0,0,0,0.001,0,0,0,5,0.009,1,8,2,23431,99.991,0,0,0,19.392,0,0,0,0,0,0.003,84229,0,0,0,140799,16.642,0,0.001,0,0,3.762,80.599,0,0.236,0,0,0,0,0,0,0,0,0,63.964,0,0,0,0,0,50.698,81910,0,0,0,0,0,0,0,0.01,0,5.95,0,0,0,0,0,6.193,0,0,49.302,0,0,0,0,0.178,60287,46.049,8.846,90052,0.002,2,0,0,0.002,0.389,0.167,0,0,0,0,0,0,0,0,1,0,1
2184.0,1.0,28,0,0,12,1433,0,0,61521,0,0,0.105,35978,35,2,1492,0,0,0,0,0,0,0,0,0,2363,951,0,0,0.168,0,0,0,0,0,0,0,0,0,19,3.83,2,3,36,1493,96.17,2.595,601,23.32,28.657,601,8390,0,0,0,2.561,29723,0,0,0,37411,6.568,0,0,1.311,0,3.601,67.512,0,0.067,0,99.966,0,100,0,0,0,0,0,61.137,0,0,0,0,1.27,64.834,15444,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,4.786,0,0,33.687,0,0,0,0,0.02,23157,99.246,0,21996,0,4.477,77,0,0,0.064,0.036,3,0,0,0,1,0,0,0,0,0,0
2184.0,1.0,20,0,0,6,267,0,0,14298,0,0,0.424,10361,12,2,199,0,0,0,0,0,0,0,0,0,518,236,0.001,0,0,0,0,0,0,0,0,0,0,0,11,2.512,2,2,12,201,97.488,2.681,92,4.276,9.042,92,443,0,0,0,1.628,8452,0,0,0,10628,5,0,0,0.923,0,3.031,88.446,0,0.087,0,86.37,0,100,0,0,0,0,0,79.519,0,0,0,0,0.884,84.8,1423,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,5.093,0,0,14.277,0,0,0,0,0.022,3432,98.273,0,8239,0,2.035,0,0,0,0.058,0.045,3,0,0,0,0,0,0,0,1,0,0
2184.0,1.0,385,0,0,0,0,0,0,6589,1087,0,0,4322,0,0,576,0,0,0,0,0,0,0,0,0,486,2,0,0,0.207,2,0,0,8.977,0,0,0,0.09,0,38,0,0,1,0,577,100,0,0,0,14.854,0,0,0,0,0,0,6201,0,0,58.631,4322,11.245,0,0,0,0.347,5.244,76.168,0,0.047,0,0,0,0,0,0,0,0,0,57.705,0,0,0,15,0,80.365,411,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.125,0,0,5.327,0,0,0,0,0,2265,0,0,2494,0,0,16,0,0,0.254,0,0,0,0,0,1,0,0,0,0,0,0
2184.0,1.0,320,343.922,0,0,0,0,0,11566,8126,0,0,7423,0,0,1592,0,0,0,0.054,0,0,0,0,0,926,1,0,0,2.324,2,0,0,5.628,0,0,0,0.056,0,43,0,0,1,0,1593,99.946,0,4,0,12.468,0,0,0.001,0,0,0,7840,0,0,57.298,7427,12.475,47.206,0,0,2.721,6.79,81.85,0,0.054,0,0,4,0,0,0,0,0.267,0,61.202,0,0,0,202,0,45.544,802,0,0,0,0,0,3,46,0,0,0,0,0,0,0,0,10.098,0,0,4.659,0,0,0,0,0,4138,0,0,4543,0,0,400,0,0,0.385,0,0,0,0,0,0,0,0,0,1,0,0
2184.0,1.0,320,343.922,0,0,0,0,0,11887,8126,0,0,7423,0,0,1592,0,0,0,4.195,0,0,0,0,0,926,1,0,0,2.324,2,0,0,5.395,0,0,0,0.056,0,43,0,0,1,0,1593,95.805,0,5,0,11.951,0,0,0.054,0,0,0,7840,0,0,57.298,7748,12.475,47.206,0,0,2.721,6.597,78.459,0,0.054,0,0,325,0,0,0,0,0.267,0,61.202,0,0,0,202,0,45.544,802,0,0,0,0,0,3,46,0,0,0,0,0,0,0,0,10.098,0,0,4.659,0,0,0,0,0,4138,0,0,4543,0,0,400,0,0,0.385,0,0,0,0,0,1,0,0,0,0,0,0
2184.0,1.0,320,380.854,0,0,0,0,0,16041,8800,0,0,10193,0,0,1592,0,0,0,0.039,0,0,0,0,0,926,1,0,0,2.099,2,0,0,4.099,0,0,0,0.041,0,43,0,0,1,0,1593,99.961,0,4,0,9.081,0,0,0,0,0,0,8622,0,0,40.578,10197,9.085,46.168,0,0,1.982,5.709,86.78,0,0.043,0,0,4,0,0,0,0,0.241,0,71.745,0,0,0,202,0,45.234,1193,0,0,0,0,0,3,46,0,0,0,0,0,0,0,0,7.993,0,0,6.259,0,0,0,0,0,5843,0,0,7313,0,0,400,0,0,0.272,0,0,0,0,0,0,0,0,0,1,0,0
2184.0,1.0,320,380.854,0,0,0,0,0,16362,8800,0,0,10193,0,0,1592,0,0,0,3.09,0,0,0,0,0,926,1,0,0,2.099,2,0,0,3.974,0,0,0,0.041,0,43,0,0,1,0,1593,96.91,0,5,0,8.804,0,0,0.029,0,0,0,8622,0,0,40.578,10518,9.085,46.168,0,0,1.982,5.565,84.132,0,0.043,0,0,325,0,0,0,0,0.241,0,71.745,0,0,0,202,0,45.234,1193,0,0,0,0,0,3,46,0,0,0,0,0,0,0,0,7.993,0,0,6.259,0,0,0,0,0,5843,0,0,7313,0,0,400,0,0,0.272,0,0,0,0,0,0,0,0,0,1,0,0
2184.0,1.0,385,0,0,0,0,0,0,6729,1087,0,0,4322,0,0,576,0,0,0,3.138,0,0,0,0,0,486,2,0,0,0.207,2,0,0,8.696,0,0,0,0.09,0,38,0,0,1,0,577,96.862,0,1,0,14.388,0,0,0.07,0,0,0,6201,0,0,58.631,4462,11.245,0,0,0,0.347,5.159,73.779,0,0.047,0,0,140,0,0,0,0,0,0,57.705,0,0,0,15,0,80.365,411,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.125,0,0,5.327,0,0,0,0,0,2265,0,0,2494,0,0,16,0,0,0.254,0,0,1,0,1,0,0,0,0,0,0,0
